,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
8512,Digital,OverDrive,EBOOK,2018,1,1,Bent Road,,Lori Roy,Fiction,"Penguin Group (USA), Inc.",2011
8513,Digital,OverDrive,EBOOK,2018,1,2,"Far From Home: Belladonna Ink Series, Book 1",,Lorelie Brown,"Fiction, Romance",Riptide Publishing,2017
8522,Digital,OverDrive,EBOOK,2018,1,2,Lucky Penny,,Catherine Anderson,"Fiction, Romance","Penguin Group (USA), Inc.",2013
8523,Digital,OverDrive,EBOOK,2018,1,3,Conscious Loving: The Journey to Co-Committment,,Gay Hendricks,"Family & Relationships, Nonfiction, Self-Improvement","Random House, Inc.",2009
8524,Digital,OverDrive,EBOOK,2018,1,1,The Panic Zone,,Rick Mofina,"Fiction, Thriller, Thriller","Harlequin Enterprises, Ltd.",2011
8525,Digital,OverDrive,EBOOK,2018,1,1,Broken Circle,,John Shirley,"Fiction, Science Fiction","Simon & Schuster, Inc.",2016
8528,Digital,OverDrive,EBOOK,2018,1,1,"Children of Scarabaeus: Scarabaeus Series, Book 2",,Sara Creasy,"Fiction, Science Fiction",HarperCollins Publishers Inc.,2011
8538,Digital,OverDrive,EBOOK,2018,1,1,Mademoiselle: Coco Chanel and the Pulse of History,,Rhonda K. Garelick,"Art, Biography & Autobiography, History, Nonfiction","Random House, Inc.",2014
8541,Digital,OverDrive,EBOOK,2018,1,1,POP: How Graphic Design Shapes Popular Culture,,Steven Heller,"Art, Nonfiction",Lightning Source Inc,2011
8549,Digital,OverDrive,EBOOK,2018,1,1,"Golden Surrender: MacAuliffe Vikings Trilogy, Book 1",,Heather Graham,"Fiction, Historical Fiction, Romance","Random House, Inc.",2012
8553,Digital,OverDrive,EBOOK,2018,1,4,"Only Time Will Tell: Clifton Chronicles, Book 1",,Jeffrey Archer,"Fiction, Historical Fiction",Macmillan Publishers,2013
8557,Digital,OverDrive,EBOOK,2018,1,1,The Color Master: Stories,,Aimee Bender,"Fiction, Literature, Short Stories","Random House, Inc.",2013
8559,Digital,OverDrive,EBOOK,2018,1,1,"Wicked Games: Wicked Games Series, Book 1",,Sean Olin,"Thriller, Young Adult Fiction",HarperCollins Publishers Inc.,2014
8562,Digital,OverDrive,EBOOK,2018,1,1,Lifetime,,Christopher Silas Neal,"Juvenile Nonfiction, Nature",Chronicle Books,2013
8564,Digital,OverDrive,EBOOK,2018,1,1,"Shadow Puppets: Ender Wiggin: Shadow Saga, Book 3",,Orson Scott Card,"Fiction, Science Fiction",Macmillan Publishers,2013
8565,Digital,OverDrive,EBOOK,2018,1,1,The Four Foundations of Mindfulness in Plain English,,Henepola Gunaratana,"Nonfiction, Self-Improvement","Simon & Schuster, Inc.",2012
8566,Digital,OverDrive,EBOOK,2018,1,1,"Click, Clack, Moo I Love You!",,Doreen Cronin,"Juvenile Fiction, Picture Book Fiction","Simon & Schuster, Inc.",2017
8571,Digital,OverDrive,EBOOK,2018,1,2,Wildfire in His Arms,,Johanna Lindsey,"Fiction, Historical Fiction, Romance","Simon & Schuster, Inc.",2015
8573,Digital,OverDrive,EBOOK,2018,1,1,"Sherlock Holmes and the Redheaded League: On the Case with Holmes and Watson Series, Book 7",,Sir Arthur Conan Doyle,"Comic and Graphic Books, Fiction, Mystery",Lerner Publishing Group,2011
8575,Digital,OverDrive,EBOOK,2018,1,2,Alluring Tales: Hot Holiday Nights,,Sylvia Day,"Erotic Literature, Fiction",HarperCollins Publishers Inc.,2012
8577,Digital,OverDrive,EBOOK,2018,1,2,From Notting Hill with Love...Actually,,Ali McNamara,"Fiction, Literature",Sourcebooks,2012
8584,Digital,OverDrive,EBOOK,2018,1,1,Superstar,,Mandy Davis,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2017
8586,Digital,OverDrive,EBOOK,2018,1,1,Gold Panning the Pacific Northwest: A Guide to the Area's Best Sites for Gold,,Garret Romaine,"Nature, Nonfiction, Science, Travel",Rowman and Littlefield Publishing Group,2017
8587,Digital,OverDrive,EBOOK,2018,1,1,Stars in My Pocket Like Grains of Sand,,Samuel R. Delany,"Fiction, Science Fiction",Open Road Integrated Media,2015
8588,Digital,OverDrive,EBOOK,2018,1,3,A Rabble of Dead Money: The Great Crash and the Global Depression: 1929-1939,,Charles R. Morris,"Business, History, Nonfiction","Hachette Digital, Inc.",2017
8601,Digital,OverDrive,EBOOK,2018,1,5,"Treasury of Greek Mythology: Classic Stories of Gods, Goddesses, Heroes & Monsters",,Donna Jo Napoli,"Juvenile Fiction, Mythology, Sociology","Random House, Inc.",2014
8606,Digital,OverDrive,EBOOK,2018,1,6,"Crowned and Dangerous: Royal Spyness Mystery Series, Book 10",,Rhys Bowen,"Fiction, Historical Fiction, Mystery","Penguin Group (USA), Inc.",2016
8615,Digital,OverDrive,EBOOK,2018,1,1,"The Last Debutante: The Secrets of Hadley Green Series, Book 4",,Julia London,"Fiction, Historical Fiction, Romance","Simon & Schuster, Inc.",2014
8620,Digital,OverDrive,EBOOK,2018,1,8,"Glory in Death: In Death Series, Book 2",,J. D. Robb,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2013
8623,Digital,OverDrive,EBOOK,2018,1,2,Steal Across the Sky,,Nancy Kress,"Fiction, Science Fiction",Macmillan Publishers,2013
8624,Digital,OverDrive,EBOOK,2018,1,4,Do I Make Myself Clear?: Why Writing Well Matters,,Harold Evans,"Language Arts, Nonfiction","Hachette Digital, Inc.",2017
8635,Digital,OverDrive,EBOOK,2018,1,1,The Bronze Bow,,Elizabeth George Speare,"Historical Fiction, Young Adult Fiction",Houghton Mifflin Harcourt Trade and Reference,2011
8638,Digital,OverDrive,EBOOK,2018,1,1,Never Say Narwhal,,Jarrett J. Krosoczka,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2016
8639,Digital,OverDrive,EBOOK,2018,1,1,Frankenstein's Cat: Cuddling Up to Biotech's Brave New Beasts,,Emily Anthes,"Nonfiction, Science",Macmillan Publishers,2014
8640,Digital,OverDrive,EBOOK,2018,1,1,The Married Kama Sutra: The World's Least Erotic Sex Manual,,Simon Rich,"Family & Relationships, Humor (Nonfiction), Nonfiction","Hachette Digital, Inc.",2013
8646,Digital,OverDrive,EBOOK,2018,1,2,"Fortunately, the Milk",,Neil Gaiman,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2013
8649,Digital,OverDrive,EBOOK,2018,1,3,The Scarlet Letter,,Nathaniel Hawthorne,"Fiction, Literature",Barnes & Noble World Digital Library,2005
8650,Digital,OverDrive,EBOOK,2018,1,1,Ten Billion,,Stephen Emmott,"Nonfiction, Politics, Science, Sociology","Random House, Inc.",2013
8651,Digital,OverDrive,EBOOK,2018,1,1,Wicked as They Come,,Delilah S. Dawson,"Fantasy, Fiction, Romance","Simon & Schuster, Inc.",2015
8665,Digital,OverDrive,EBOOK,2018,1,6,"All the Pretty Horses: The Border Trilogy, Book 1",,Cormac McCarthy,"Fiction, Mystery, Western","Random House, Inc.",2010
8673,Digital,OverDrive,EBOOK,2018,1,3,"Teach Me a Lesson: The Naughty Corner Series, Book 2",,Jasmine Haynes,"Erotic Literature, Fiction, Romance","Penguin Group (USA), Inc.",2014
8679,Digital,OverDrive,EBOOK,2018,1,1,The Christmas Boot,,Lisa Wheeler,"Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Penguin Group (USA), Inc.",2018
8687,Digital,OverDrive,EBOOK,2018,1,2,"The Longest Day: Seekers: Return to the Wild Series, Book 6",,Erin Hunter,"Fantasy, Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2016
8691,Digital,OverDrive,EBOOK,2018,1,4,"Troubled Bones: Crispin Guest Medieval Noir Series, Book 4",,Jeri Westerson,"Fiction, Historical Fiction, Mystery",INscribe Digital,2018
8696,Digital,OverDrive,EBOOK,2018,1,2,Sugar and Spice,,Fern Michaels,"Fiction, Romance","Random House, Inc.",2009
8706,Digital,OverDrive,EBOOK,2018,1,2,"The Queen's Fool: The Tudor Series, Book 4",,Philippa Gregory,"Fiction, Historical Fiction, Romance","Simon & Schuster, Inc.",2014
8708,Digital,OverDrive,EBOOK,2018,1,2,"The Witch Must Burn: Dorothy Must Die Series, Book 0.2",,Danielle Paige,"Fantasy, Short Stories, Young Adult Fiction",HarperCollins Publishers Inc.,2014
8710,Digital,OverDrive,EBOOK,2018,1,5,"Deck the Halls, We're Off the Walls!: My Weird School Special Series, Book 3",,Dan Gutman,"Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2013
8717,Digital,OverDrive,EBOOK,2018,1,2,The Thin Green Line: How I Learned the Difference Between Being Wealthy and Rich and Why It Matters to Everyone,,Paul Sullivan,"Business, Finance, Nonfiction, Self-Improvement","Simon & Schuster, Inc.",2015
8718,Digital,OverDrive,EBOOK,2018,1,1,Gifts for the One Who Comes After,,Helen Marshall,"Fiction, Short Stories","Trajectory, Inc.",2015
8719,Digital,OverDrive,EBOOK,2018,1,1,Understanding Close-Up Photography,,Bryan Peterson,"Nonfiction, Photography, Reference","Random House, Inc.",2012
8723,Digital,OverDrive,EBOOK,2018,1,1,"Simply Sexy: Simply Series, Book 5",,Carly Phillips,"Fiction, Romance","Harlequin Enterprises, Ltd.",2010
8727,Digital,OverDrive,EBOOK,2018,1,1,"Plague Year: Plague Series, Book 1",,Jeff Carlson,"Fiction, Science Fiction","Penguin Group (USA), Inc.",2009
8728,Digital,OverDrive,EBOOK,2018,1,3,The Scorpio Races,,Maggie Stiefvater,"Fantasy, Young Adult Fiction","Scholastic, Inc. (US)",2014
8735,Digital,OverDrive,EBOOK,2018,1,1,Whole Lotta Led Zeppelin: The Illustrated History of the Heaviest Band of All Time,,Jon Bream,"Music, Nonfiction",Quarto Publishing Group USA,2012
8736,Digital,OverDrive,EBOOK,2018,1,42,"The Silkworm: Cormoran Strike Series, Book 2",,Robert Galbraith,"Fiction, Mystery","Hachette Digital, Inc.",2014
8737,Digital,OverDrive,EBOOK,2018,1,2,"Dawn's Prelude: Song of Alaska Series, Book 1",,Tracie Peterson,"Christian Fiction, Fiction, Historical Fiction",Baker Publishing Group,2011
8741,Digital,OverDrive,EBOOK,2018,1,1,There Is No F*cking Secret: Letters From a Badass Bitch,,Kelly Osbourne,"Biography & Autobiography, Nonfiction, Performing Arts","Penguin Group (USA), Inc.",2017
8743,Digital,OverDrive,EBOOK,2018,1,5,The Twilight Saga Collection,,Stephenie Meyer,"Fantasy, Romance, Young Adult Fiction","Hachette Digital, Inc.",2012
8746,Digital,OverDrive,EBOOK,2018,1,1,Versailles: A Novel,,Kathryn Davis,"Fiction, Historical Fiction",Houghton Mifflin Harcourt Trade and Reference,2013
8747,Digital,OverDrive,EBOOK,2018,1,5,The Last Painting of Sara de Vos: A Novel,,Dominic Smith,"Fiction, Historical Fiction, Literature",Macmillan Publishers,2016
8750,Digital,OverDrive,EBOOK,2018,1,2,"I, Alex Cross: Alex Cross Series, Book 16",,James Patterson,"Fiction, Suspense, Thriller","Hachette Digital, Inc.",2009
8751,Digital,OverDrive,EBOOK,2018,1,1,Butcher's Moon: A Parker Novel,,Richard Stark,"Fiction, Literature, Mystery",University of Chicago Press,2011
8755,Digital,OverDrive,EBOOK,2018,1,4,Release,,Patrick Ness,"Young Adult Fiction, Young Adult Literature",HarperCollins Publishers Inc.,2017
8761,Digital,OverDrive,EBOOK,2018,1,2,Simple Steps to Foot Pain Relief: The New Science of Healthy Feet,,Katy  Bowman,"Health & Fitness, Medical, Nonfiction",Lightning Source Inc,2016
8763,Digital,OverDrive,EBOOK,2018,1,1,Destiny Disrupted: A History of the World through Islamic Eyes,,Tamim Ansary,"History, Nonfiction, Religion & Spirituality","Hachette Digital, Inc.",2012
8766,Digital,OverDrive,EBOOK,2018,1,2,The Laughing Monsters: A Novel,,Denis Johnson,"Fiction, Literature, Thriller",Macmillan Publishers,2014
8767,Digital,OverDrive,EBOOK,2018,1,1,"A Sparrow Falls: The Courtney Family, The First Sequence Series, Book 3",,Wilbur Smith,"Fiction, Historical Fiction, Literature",Macmillan Publishers,2013
8772,Digital,OverDrive,EBOOK,2018,1,1,"Storm of Lightning: Michael Vey Series, Book 5",,Richard Paul Evans,"Science Fiction, Young Adult Fiction","Simon & Schuster, Inc.",2015
8777,Digital,OverDrive,EBOOK,2018,1,1,Falling Into Us,,Jasinda Wilder,"Erotic Literature, Fiction, Romance",NLA Digital LLC,2015
8781,Digital,OverDrive,EBOOK,2018,1,1,"The Wild & Weedy Apothecary: An A to Z Book of Herbal Concoctions, Recipes & Remedies, Practical Know-How & Food for the Soul",,Doreen Shababy,"Health & Fitness, Nonfiction",Llewellyn Publications,2010
8782,Digital,OverDrive,EBOOK,2018,1,3,Talk of the Ton,,Eloisa James,"Fiction, Romance","Penguin Group (USA), Inc.",2009
8790,Digital,OverDrive,EBOOK,2018,1,2,Time Reborn: From the Crisis in Physics to the Future of the Universe,,Lee Smolin,"Nonfiction, Science",Houghton Mifflin Harcourt Trade and Reference,2013
8795,Digital,OverDrive,EBOOK,2018,1,2,"Nice Girls Don't Date Dead Men: Jane Jameson Series, Book 2",,Molly Harper,"Fantasy, Fiction, Romance","Simon & Schuster, Inc.",2014
8801,Digital,OverDrive,EBOOK,2018,1,1,More Than Sorrow: A Mystery,,Vicki Delany,"Fiction, Mystery",Poisoned Pen Press,2013
8802,Digital,OverDrive,EBOOK,2018,1,1,"A World of Curiosities: Surprising, Interesting, and Downright Unbelievable Facts from Every Nation on the Planet",,John Oldale,"Nonfiction, Reference","Penguin Group (USA), Inc.",2013
8804,Digital,OverDrive,EBOOK,2018,1,2,Without Fear or Favor: A Novel,,Robert K. Tanenbaum,"Fiction, Literature, Mystery, Thriller","Simon & Schuster, Inc.",2017
8811,Digital,OverDrive,EBOOK,2018,1,8,"The Black Witch--An Epic Fantasy Novel: The Black Witch Chronicles Series, Book 1",,Laurie  Forest,"Fantasy, Young Adult Fiction, Young Adult Literature","Harlequin Enterprises, Ltd.",2017
8829,Digital,OverDrive,EBOOK,2018,1,1,Villette,,Charlotte Bronte,"Classic Literature, Fiction","Penguin Group (USA), Inc.",2013
8840,Digital,OverDrive,EBOOK,2018,1,2,Autobiography of a Corpse,,Sigizmund Krzhizhanovsky,"Fiction, Literature, Short Stories","Random House, Inc.",2013
8844,Digital,OverDrive,EBOOK,2018,1,1,"Rebel: Blades of the Rose Series, Book 3",,Zoe Archer,"Fantasy, Fiction, Romance","Random House, Inc.",2012
8850,Digital,OverDrive,EBOOK,2018,1,2,Hard to Come By: A Hard Ink Novel,,Laura Kaye,"Fiction, Romance, Suspense",HarperCollins Publishers Inc.,2014
8851,Digital,OverDrive,EBOOK,2018,1,4,The Souls of Black Folk: Essays and Sketches,,W. E. B. Du Bois,"Essays, Multi-Cultural, Nonfiction",Duke Classics,2018
8853,Digital,OverDrive,EBOOK,2018,1,3,"Down Cemetery Road: Oxford Investigations Series, Book 1",,Mick Herron,"Fiction, Mystery","Random House, Inc.",2015
8865,Digital,OverDrive,EBOOK,2018,1,1,"Night Fire: Night Trilogy, Book 1",,Catherine Coulter,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2008
8866,Digital,OverDrive,EBOOK,2018,1,2,The Story of Philosophy,,Will Durant,"Biography & Autobiography, History, Nonfiction, Philosophy","Simon & Schuster, Inc.",2014
8872,Digital,OverDrive,EBOOK,2018,1,2,Ford County: Stories,,John Grisham,"Fiction, Literature, Short Stories, Thriller","Random House, Inc.",2010
8878,Digital,OverDrive,EBOOK,2018,1,3,The New Healthy Bread in Five Minutes a Day: Revised and Updated with New Recipes,,"Jeff Hertzberg, M.D.","Cooking & Food, Nonfiction",Macmillan Publishers,2016
8879,Digital,OverDrive,EBOOK,2018,1,1,Echoes from the Dead,,Johan Theorin,"Fiction, Literature, Suspense, Thriller","Random House, Inc.",2012
8881,Digital,OverDrive,EBOOK,2018,1,5,"Captain Underpants and the Preposterous Plight of the Purple Potty People: Captain Underpants Series, Book 8",,Dav Pilkey,"Humor (Fiction), Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)",2015
8883,Digital,OverDrive,EBOOK,2018,1,1,Ferals,,Jacob Grey,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2015
8884,Digital,OverDrive,EBOOK,2018,1,2,"The Tapping Solution for Weight Loss & Body Confidence: A Woman's Guide to Stressing Less, Weighing Less, and Loving More",,Jessica Ortner,"Health & Fitness, Nonfiction","Hay House, Inc.",2014
8890,Digital,OverDrive,EBOOK,2018,1,1,"The LEGO Build-It Book, Volume 1: Amazing Vehicles",,Nathanaël Kuipers,"Crafts, Juvenile Nonfiction","Random House, Inc.",2015
8891,Digital,OverDrive,EBOOK,2018,1,1,The Silent Boy,,Lois Lowry,"Historical Fiction, Young Adult Fiction",Houghton Mifflin Harcourt Trade and Reference,2011
8893,Digital,OverDrive,EBOOK,2018,1,2,"Bunnicula: Bunnicula Series, Book 1",,Deborah Howe,"Fantasy, Humor (Fiction), Juvenile Fiction","Simon & Schuster, Inc.",2014
8894,Digital,OverDrive,EBOOK,2018,1,1,The Magic Finger,,Roald Dahl,"Fantasy, Juvenile Fiction","Penguin Group (USA), Inc.",2013
8901,Digital,OverDrive,EBOOK,2018,1,2,"Beyond the Truth: Hanne Wilhelmsen Series, Book 7",,Anne Holt,"Fiction, Mystery, Suspense, Thriller","Simon & Schuster, Inc.",2016
8904,Digital,OverDrive,EBOOK,2018,1,1,SEAL Team Six: Memoirs of an Elite Navy SEAL Sniper,,Howard E. Wasdin,"Biography & Autobiography, History, Military, Nonfiction",Macmillan Publishers,2013
8905,Digital,OverDrive,EBOOK,2018,1,1,"Grown-Up Anger: The Connected Mysteries of Bob Dylan, Woody Guthrie, and the Calumet Massacre of 1913 T",,Daniel Wolff,"Biography & Autobiography, History, Music, Nonfiction",HarperCollins Publishers Inc.,2017
8911,Digital,OverDrive,EBOOK,2018,1,6,"Footsteps in the Dark: Country House Mysteries Series, Book 1",,Georgette Heyer,"Fiction, Mystery",Sourcebooks,2011
8917,Digital,OverDrive,EBOOK,2018,1,3,"Serpent Gate: Kevin Kerney Series, Book 3",,Michael McGarrity,"Fiction, Mystery","Simon & Schuster, Inc.",2015
8920,Digital,OverDrive,EBOOK,2018,1,3,The Little House,,Virginia Lee Burton,Juvenile Fiction,Houghton Mifflin Harcourt Trade and Reference,2011
8922,Digital,OverDrive,EBOOK,2018,1,4,The Prime: Prepare and Repair Your Body for Spontaneous Weight Loss,,Kulreet Chaudhary,"Health & Fitness, Medical, Nonfiction","Random House, Inc.",2016
8931,Digital,OverDrive,EBOOK,2018,1,1,Because They Wanted To: Stories,,Mary Gaitskill,"Fiction, Literature, Short Stories","Simon & Schuster, Inc.",2014
8934,Digital,OverDrive,EBOOK,2018,1,1,Danny McGee Drinks the Sea,,Andy Stanton,"Humor (Fiction), Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Random House, Inc.",2017
8939,Digital,OverDrive,EBOOK,2018,1,4,Difficult Conversations: How to Discuss What Matters Most,,Douglas Stone,"Business, Nonfiction","Penguin Group (USA), Inc.",2010
8944,Digital,OverDrive,EBOOK,2018,1,1,"The Last of the Red-Hot Vampires: The Dark Ones Series, Book 5",,Katie MacAlister,"Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2010
8950,Digital,OverDrive,EBOOK,2018,1,2,29 Gifts: How a Month of Giving Can Change Your Life,,Cami Walker,"Nonfiction, Self-Improvement","Hachette Digital, Inc.",2009
8959,Digital,OverDrive,EBOOK,2018,1,1,Swallow Me Whole,,Nate Powell,"Comic and Graphic Books, Fiction",IDW Publishing,2012
8967,Digital,OverDrive,EBOOK,2018,1,8,A Damsel in Distress,,P. G. Wodehouse,"Classic Literature, Fiction, Humor (Fiction), Romance",Duke Classics,2018
8973,Digital,OverDrive,EBOOK,2018,1,2,"The Heart of a Texas Cowboy: Men of Legend Series, Book 2",,Linda Broday,"Fiction, Historical Fiction, Romance, Western",Sourcebooks,2017
8975,Digital,OverDrive,EBOOK,2018,1,1,Tree House Mystery & The Haunted Cabin Mystery: Two Complete Boxcar Children Graphic Novels,,Gertrude  Chandler Warner,"Comic and Graphic Books, Juvenile Fiction, Mystery",Open Road Integrated Media,2011
8985,Digital,OverDrive,EBOOK,2018,1,5,Turtle in Paradise,,Jennifer L. Holm,"Historical Fiction, Juvenile Fiction","Random House, Inc.",2010
8987,Digital,OverDrive,EBOOK,2018,1,1,Old Man and the Sea (Chinese),,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2017
8990,Digital,OverDrive,EBOOK,2018,1,1,Lying in Bed,,M. J. Rose,"Erotic Literature, Fiction","Harlequin Enterprises, Ltd.",2011
8995,Digital,OverDrive,EBOOK,2018,1,1,Going Wrong,,Ruth Rendell,"Fiction, Suspense",Open Road Integrated Media,2011
8998,Digital,OverDrive,EBOOK,2018,1,2,"Last First Snow: Craft Sequence, Book 4",,Max Gladstone,"Fantasy, Fiction",Macmillan Publishers,2015
9001,Digital,OverDrive,EBOOK,2018,1,3,Stinger,,Robert R. McCammon,"Fiction, Horror",Open Road Integrated Media,2018
9012,Digital,OverDrive,EBOOK,2018,1,8,The Regional Office Is Under Attack!: A Novel,,Manuel Gonzales,"Fiction, Literature, Science Fiction, Thriller","Penguin Group (USA), Inc.",2016
9014,Digital,OverDrive,EBOOK,2018,1,2,Waiting,,Kevin Henkes,"Juvenile Fiction, Juvenile Literature, Picture Book Fiction",HarperCollins Publishers Inc.,2016
9017,Digital,OverDrive,EBOOK,2018,1,3,Dissolving Pain: Simple Brain-Training Exercises for Overcoming Chronic Pain,,Les Fehmi,"Health & Fitness, Medical, Nonfiction","Random House, Inc.",2011
9025,Digital,OverDrive,EBOOK,2018,1,1,"Axis: Spin Series, Book 2",,Robert Charles Wilson,"Fiction, Science Fiction",Macmillan Publishers,2015
9026,Digital,OverDrive,EBOOK,2018,1,2,"Entice: Embrace Series, Book 2",,Jessica Shirvington,"Fantasy, Romance, Young Adult Fiction",Sourcebooks,2012
9027,Digital,OverDrive,EBOOK,2018,1,2,"The Other Queen: The Tudor Series, Book 6",,Philippa Gregory,"Fiction, Historical Fiction, Romance","Simon & Schuster, Inc.",2014
9029,Digital,OverDrive,EBOOK,2018,1,1,The Rural Life,,Verlyn Klinkenborg,"Nature, Nonfiction","Hachette Digital, Inc.",2010
9043,Digital,OverDrive,EBOOK,2018,1,6,Baker's Royale: 75 Twists on All Your Favorite Sweets,,Naomi Robinson,"Cooking & Food, Nonfiction","Hachette Digital, Inc.",2017
9051,Digital,OverDrive,EBOOK,2018,1,3,"Lust, Anger, Love: Understanding Sexual Addiction and the Road to Healthy Intimacy",,Maureen Canning,"Nonfiction, Recovery, Self-Improvement",Sourcebooks,2010
9066,Digital,OverDrive,EBOOK,2018,1,1,"The Sommelier Prep Course: An Introduction to the Wines, Beers, and Spirits of the World",,M. Gibson,"Cooking & Food, Nonfiction","John Wiley & Sons, Inc.",2010
9067,Digital,OverDrive,EBOOK,2018,1,1,Niya: Rainbow Dreams,,Fabiola Joseph,"African American Fiction, Fiction, Literature","Random House, Inc.",2017
9071,Digital,OverDrive,EBOOK,2018,1,2,"The Flexitarian Diet: The Mostly Vegetarian Way to Lose Weight, Be Healthier, Prevent Disease, and Add Years to Your Life",,Dawn Jackson Blatner,"Health & Fitness, Nonfiction",McGraw-Hill Professional,2010
9074,Digital,OverDrive,EBOOK,2018,1,1,Caleb's Crossing: A Novel,,Geraldine Brooks,"Fiction, Literature","Penguin Group (USA), Inc.",2011
9077,Digital,OverDrive,EBOOK,2018,1,1,Finch,,Jeff VanderMeer,"Fantasy, Fiction, Mystery",Lightning Source Inc,2014
9078,Digital,OverDrive,EBOOK,2018,1,1,The Communist,,Guido Morselli,"Fiction, Literature","Random House, Inc.",2017
9081,Digital,OverDrive,EBOOK,2018,1,1,Aaron Loves Apples and Pumpkins,,P.D. Eastman,"Beginning Reader, Juvenile Fiction","Random House, Inc.",2016
9082,Digital,OverDrive,EBOOK,2018,1,3,3 Among the Wolves: A Couple and Their Dog Live a Year with Wolves in the Wild,,Helen Thayer,"Biography & Autobiography, Nature, Nonfiction, Travel","Random House, Inc.",2011
9089,Digital,OverDrive,EBOOK,2018,1,1,Looking for Alibrandi,,Melina Marchetta,"Romance, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2011
9095,Digital,OverDrive,EBOOK,2018,1,4,The Singer's Gun,,Emily St. John Mandel,"Fiction, Romance, Suspense, Thriller","Random House, Inc.",2012
9097,Digital,OverDrive,EBOOK,2018,1,3,Tiger Lily,,Jodi Lynn Anderson,"Folklore, Young Adult Fiction",HarperCollins Publishers Inc.,2012
9102,Digital,OverDrive,EBOOK,2018,1,2,Mother to Mother,,Sindiwe Magona,"Fiction, Literature","Random House, Inc.",2014
9107,Digital,OverDrive,EBOOK,2018,1,1,"Scandalous Summer Nights: Honeycote Series, Book 4",,Anne Barton,"Fiction, Historical Fiction, Romance","Hachette Digital, Inc.",2014
9114,Digital,OverDrive,EBOOK,2018,1,1,"Shadow Silence: Whisper Hollow Series, Book 2",,Yasmine Galenorn,"Fantasy, Fiction, Romance","Penguin Group (USA), Inc.",2016
9119,Digital,OverDrive,EBOOK,2018,1,2,The Mammoth Book of Vampire Stories by Women,,Stephen Jones,"Fantasy, Fiction, Horror, Short Stories",Lightning Source Inc,2017
9123,Digital,OverDrive,EBOOK,2018,1,1,Blood Hina,,Naomi Hirahara,"Fiction, Literature, Mystery, Thriller",Lightning Source Inc,2016
9124,Digital,OverDrive,EBOOK,2018,1,2,The Fall of the Dynasties: The Collapse of the Old Order: 1905-1922,,Edmond Taylor,"History, Military, Nonfiction",Lightning Source Inc,2016
9127,Digital,OverDrive,EBOOK,2018,1,1,"Supernaturally: Paranormalcy Series, Book 2",,Kiersten White,"Fantasy, Young Adult Fiction",HarperCollins Publishers Inc.,2011
9130,Digital,OverDrive,EBOOK,2018,1,5,"A World of Three Zeros: The New Economics of Zero Poverty, Zero Unemployment, and Zero Net Carbon Emissions",,Muhammad Yunus,"Nonfiction, Politics, Sociology","Hachette Digital, Inc.",2017
9132,Digital,OverDrive,EBOOK,2018,1,1,"Point Guard: Home Team Series, Book 3",,Mike Lupica,Juvenile Fiction,"Simon & Schuster, Inc.",2017
9133,Digital,OverDrive,EBOOK,2018,1,3,What to Expect the First Year,,Heidi Murkoff,"Family & Relationships, Nonfiction",Workman Publishing,2013
9138,Digital,OverDrive,EBOOK,2018,1,5,Should We Eat Meat Evolution and Consequences of Modern Carnivory,,Vaclav Smil,"Nonfiction, Technology","John Wiley & Sons, Inc.",2013
9141,Digital,OverDrive,EBOOK,2018,1,1,You Are What You Wear: What Your Clothes Reveal About You,,Jennifer Baumgartner,"Art, Health & Fitness, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2013
9145,Digital,OverDrive,EBOOK,2018,1,1,America America: A Novel,,Ethan Canin,"Fiction, Literature, Romance","Random House, Inc.",2008
9167,Digital,OverDrive,EBOOK,2018,1,1,An Offer You Can't Refuse,,Jill Mansell,"Fiction, Humor (Fiction), Literature",Sourcebooks,2012
9171,Digital,OverDrive,EBOOK,2018,1,4,"Furies of Calderon: Codex Alera Series, Book 1",,Jim Butcher,"Fantasy, Fiction","Penguin Group (USA), Inc.",2010
9175,Digital,OverDrive,EBOOK,2018,1,1,Continental Crimes,,Martin Edwards,"Fiction, Short Stories",Poisoned Pen Press,2017
9179,Digital,OverDrive,EBOOK,2018,1,1,"He, She and It",,Marge Piercy,"Fiction, Literature, Science Fiction, Thriller","Random House, Inc.",2011
